prob_density,r,z,vr,vz
1.3e-05,5.439230700000001e-08,1.7285513285000003e-06,-0.0359031408,0.0379848876
1.3e-05,5.460404900000001e-08,1.728327831e-06,-0.035688668,0.0376700639
1.2e-05,5.481698900000001e-08,1.7281035910000002e-06,-0.0354750108,0.0373575206
1.2e-05,5.50310925e-08,1.7278786490000002e-06,-0.0352622441,0.0370473347
1.2e-05,5.524635550000001e-08,1.7276530120000002e-06,-0.0350503401,0.0367394851
1.2e-05,5.546282450000001e-08,1.7274266345000002e-06,-0.0348392738,0.0364339382
1.1e-05,5.5680450000000004e-08,1.727199572e-06,-0.0346290905,0.0361307425
1.1e-05,5.589924550000001e-08,1.726971813e-06,-0.0344197787,0.0358298933
1.1e-05,5.6119243500000004e-08,1.7267433260000002e-06,-0.0342112967,0.0355313384
1.1e-05,5.6340402500000004e-08,1.7265141585e-06,-0.0340037094,0.0352351472
1e-05,5.6562726e-08,1.7262843070000002e-06,-0.0337969887,0.0349412969
1e-05,5.678626400000001e-08,1.7260537240000004e-06,-0.0335910981,0.0346497399
1e-05,5.701096900000001e-08,1.7258224610000001e-06,-0.0333860908,0.0343605302
1e-05,5.7236843000000004e-08,1.725590517e-06,-0.0331819409,0.0340736482
1e-05,5.7463912500000004e-08,1.7253578675000001e-06,-0.0329786523,0.0337890919
9e-06,5.7692178500000004e-08,1.7251245130000003e-06,-0.0327761935,0.0335068237
9e-06,5.7921619500000004e-08,1.7248904775000002e-06,-0.0325746153,0.0332268977
9e-06,5.815223700000001e-08,1.7246557610000001e-06,-0.0323738831,0.0329492801
9e-06,5.838405300000001e-08,1.724420343e-06,-0.0321740018,0.0326739699
9e-06,5.8617072000000004e-08,1.72418422e-06,-0.0319749859,0.0324008859
8e-06,5.8851273000000006e-08,1.7239474175e-06,-0.0317769549,0.0321299881
8e-06,5.9086657000000005e-08,1.7237099360000002e-06,-0.0315799119,0.0318612635
8e-06,5.9323226e-08,1.7234717775e-06,-0.0313838392,0.0315946916
8e-06,5.9561003500000006e-08,1.7232329215000001e-06,-0.0311887325,0.0313302623
8e-06,5.979998200000001e-08,1.722993377e-06,-0.0309945872,0.0310679662
8e-06,6.004014900000001e-08,1.7227531605000001e-06,-0.0308014193,0.03080782
7e-06,6.0281505e-08,1.7225122725000002e-06,-0.0306092179,0.0305498117
7e-06,6.052405250000001e-08,1.7222707145e-06,-0.0304179875,0.0302939428
7e-06,6.0767791e-08,1.7220284875e-06,-0.0302277136,0.0300401956
7e-06,6.10127295e-08,1.7217855865000002e-06,-0.0300384077,0.0297885772
7e-06,6.125888050000001e-08,1.7215419995e-06,-0.0298500322,0.0295390451
7e-06,6.1506225e-08,1.7212977490000001e-06,-0.0296626208,0.0292916301
7e-06,6.17547625e-08,1.7210528355e-06,-0.0294761608,0.029046319
6e-06,6.20044955e-08,1.7208072595000002e-06,-0.0292906566,0.0288031126
6e-06,6.225542600000001e-08,1.72056102e-06,-0.0291060937,0.0285619925
6e-06,6.250755250000001e-08,1.7203141195e-06,-0.0289224788,0.0283229616
6e-06,6.27608805e-08,1.7200665545e-06,-0.0287397937,0.028085998
6e-06,6.301540750000001e-08,1.7198183280000002e-06,-0.0285580477,0.0278511066
6e-06,6.32711365e-08,1.7195694385e-06,-0.0283772276,0.0276182709
6e-06,6.3528068e-08,1.7193198870000002e-06,-0.0281973503,0.0273874728
6e-06,6.378620300000001e-08,1.7190696735000001e-06,-0.0280184578,0.0271586345
5e-06,6.404554200000001e-08,1.7188188e-06,-0.0278405683,0.0269317423
5e-06,6.4306093e-08,1.7185672615e-06,-0.0276636714,0.0267067814
5e-06,6.4567848e-08,1.7183150675000002e-06,-0.0274877704,0.0264837514
5e-06,6.483080750000001e-08,1.7180622195000001e-06,-0.0273128586,0.0262626427
5e-06,6.509497250000001e-08,1.7178087175000002e-06,-0.0271389338,0.026043449
5e-06,6.536034250000001e-08,1.7175545645000002e-06,-0.0269659878,0.0258261585
5e-06,6.56269185e-08,1.717299761e-06,-0.0267940187,0.0256107651
5e-06,6.58947e-08,1.7170443085000002e-06,-0.0266230349,0.0253972728
5e-06,6.61636875e-08,1.716788208e-06,-0.0264530079,0.0251856501
4e-06,6.6433881e-08,1.7165314605000001e-06,-0.0262839529,0.0249759072
4e-06,6.67052875e-08,1.7162740615000002e-06,-0.0261158515,0.0247680217
4e-06,6.697790300000001e-08,1.7160160145000002e-06,-0.0259487005,0.0245619859
4e-06,6.725172550000001e-08,1.7157573235000002e-06,-0.0257825105,0.0243578061
4e-06,6.75267545e-08,1.7154979885e-06,-0.0256172588,0.0241554565
4e-06,6.780299050000001e-08,1.7152380105000003e-06,-0.025452953,0.0239549398
